"chr","start","end","value","L","direction","n_immune_genes","immune_genes"
"chr6",137866345,137866457,-0.1078,7522,"hypo",1,"TNFAIP3"
"chr7",22727038,22727210,-0.1069,2929,"hypo",1,"IL6"
"chr6",137867274,137868167,0.105,4392,"hyper",1,"TNFAIP3"
"chr17",42388554,42388847,0.0681,70404,"hyper",1,"STAT3"
"chr11",36510571,36510794,-0.1011,2491,"hypo",1,"TRAF6"
"chr8",42331079,42331422,-0.0982,111811,"hypo",1,"IKBKB"
"chr2",191014784,191014815,0.097,16040,"hyper",1,"STAT1"
"chr19",44747381,44748668,0.0969,60362,"hyper",1,"BCL3"
"chr4",38804996,38805716,-0.0956,94214,"hypo",1,"TLR1"
"chr12",69353493,69353837,0.0942,43713,"hyper",1,"LYZ"
"chr6",36027469,36027590,0.0905,2013,"hyper",1,"MAPK14"
"chr6",31575392,31575442,0.0886,5115,"hyper",1,"TNF"
"chr17",34254016,34254201,0.0859,81772,"hyper",1,"CCL2"
"chr17",35880328,35880450,0.0785,37314,"hyper",1,"CCL5"
"chr12",43759004,43759137,-0.0778,28082,"hypo",1,"IRAK4"
"chr1",247415201,247415250,-0.0762,60688,"hypo",1,"NLRP3"
"chr12",6329903,6329931,-0.0737,28289,"hypo",1,"TNFRSF1A"
"chr12",68160869,68160904,0.0714,82434,"hyper",1,"IFNG"
"chr14",75278317,75278815,-0.0703,36781,"hypo",1,"FOS"
"chr5",132488810,132489104,0.0703,31561,"hyper",1,"IRF1"
"chr14",35404477,35404971,0.0701,2029,"hyper",1,"NFKBIA"
"chr6",90587633,90587797,-0.0694,458,"hypo",1,"MAP3K7"
"chr16",85902222,85902305,-0.0678,19707,"hypo",1,"IRF8"
"chr4",73740390,73740400,-0.0665,137527,"hypo",1,"CXCL8"
"chr16",11257312,11257473,-0.0648,4491,"hypo",1,"SOCS1"
"chr3",101849344,101849351,-0.0628,111618,"hypo",1,"NFKBIZ"
"chr5",151066510,151066526,0.06,15259,"hyper",1,"TNIP1"
"chr1",154467040,154467040,-0.06,155405,"hypo",1,"IL6R"
"chr11",615642,616112,-0.0597,38747,"hypo",1,"IRF7"
"chr1",154405048,154405099,0.058,5460,"hyper",1,"IL6R"
"chr19",44757096,44757499,0.0528,35711,"hyper",1,"BCL3"
